"Mineral Name","Mineral Name (plain)","Year First Published"
"Bostwickite","Bostwickite","1982"
"Botallackite","Botallackite","1865"
"Botryogen","Botryogen","1828"
"Bottinoite","Bottinoite","1991"
"Botuobinskite","Botuobinskite","2020"
"Bouazzerite","Bouazzerite","2005"
"Boulangerite","Boulangerite","1837"
"Bournonite","Bournonite","1805"
"Bouškaite","Bouskaite","2019"
"Boussingaultite","Boussingaultite","1864"
"Bowieite","Bowieite","1980"
"Bowlesite","Bowlesite","2019"
"Boyleite","Boyleite","1977"
"Braccoite","Braccoite","2013"
"Bracewellite","Bracewellite","1967"
"Brackebuschite","Brackebuschite","1880"
"Bradaczekite","Bradaczekite","2000"
"Bradleyite","Bradleyite","1941"
"Braggite","Braggite","1932"
"Braithwaiteite","Braithwaiteite","2006"
"Braitschite-(Ce)","Braitschite-(Ce)","1967"
"Branchite","Branchite","1839"
"Brandãoite","Brandaoite","2017"
"Brandholzite","Brandholzite","1998"
"Brandtite","Brandtite","1888"
"Brannerite","Brannerite","1920"
"Brannockite","Brannockite","1972"
"Brassite","Brassite","1973"
"Brattforsite","Brattforsite","2020"
"Braunerite","Braunerite","2016"
"Braunite","Braunite","1828"
"Brazilianite","Brazilianite","1945"
"Bredigite","Bredigite","1948"
"Breithauptite","Breithauptite","1845"
"Brendelite","Brendelite","1997"
"Brenkite","Brenkite","1977"
"Brewsterite-Ba","Brewsterite-Ba","1993"
"Brewsterite-Sr","Brewsterite-Sr","1822"
"Breyite","Breyite","2018"
"Brezinaite","Brezinaite","1969"
"Brianite","Brianite","1966"
"Brianroulstonite","Brianroulstonite","1996"
"Brianyoungite","Brianyoungite","1991"
"Briartite","Briartite","1965"
"Bridgesite-(Ce)","Bridgesite-(Ce)","2019"
"Bridgmanite","Bridgmanite","2014"
"Brindleyite","Brindleyite","1975"
"Brinrobertsite","Brinrobertsite","1997"
"Britholite-(Ce)","Britholite-(Ce)","1901"
"Britholite-(Y)","Britholite-(Y)","1938"
"Britvinite","Britvinite","2006"
"Brizziite","Brizziite","1993"
"Brochantite","Brochantite","1824"
"Brockite","Brockite","1962"
"Brodtkorbite","Brodtkorbite","1999"
"Bromargyrite","Bromargyrite","1849"
"Bromellite","Bromellite","1925"
"Brontesite","Brontesite","2008"
"Brookite","Brookite","1825"
"Browneite","Browneite","2012"
"Brownleeite","Brownleeite","2008"
"Brownmillerite","Brownmillerite","1963"
